input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\es\release.png,350,64,25.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\es\subtitles.png,350,73,29.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\es\synopsis.png,350,67,27.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\es\technical.png,350,63,27.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\audio.png,350,62,25.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\information.png,350,57,24.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\metadata.png,350,56,24.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\release.png,350,60,23.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\subtitles.png,350,62,25.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\synopsis.png,350,57,23.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\black-and-white\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\black-and-white\fr\technical.png,350,54,25.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\audio.png,350,77,50.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\cyberpunk\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\cyberpunk\en\information.png,350,74,50.0,50,0.5,8,
