input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\en\technical.png,350,48,23.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\audio.png,350,52,18.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\information.png,350,54,21.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\metadata.png,350,50,20.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\release.png,350,48,17.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\subtitles.png,350,49,18.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\synopsis.png,350,50,18.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\es\technical.png,350,48,20.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\audio.png,350,50,17.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\information.png,350,50,19.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\metadata.png,350,48,19.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\release.png,350,51,19.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\subtitles.png,350,47,18.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\synopsis.png,350,51,19.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\minimal-blue\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\minimal-blue\fr\technical.png,350,50,23.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\audio.png,350,76,39.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\information.png,350,73,37.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\metadata.png,350,70,36.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\release.png,350,72,36.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\subtitles.png,350,75,38.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\synopsis.png,350,69,35.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\en\technical.png,350,76,40.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\audio.png,350,80,40.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\information.png,350,77,41.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\metadata.png,350,78,40.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\release.png,350,76,39.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\subtitles.png,350,79,42.5,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\synopsis.png,350,78,39.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\es\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\es\technical.png,350,73,39.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\audio.png,350,69,35.0,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\information.png,350,69,35.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\metadata.png,350,69,37.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\release.png,350,74,37.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\subtitles.png,350,70,36.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\synopsis.png,350,69,35.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\robotic\fr\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\robotic\fr\technical.png,350,69,39.6,50,0.5,8,
